element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ce	2	"342.271"	"342.27048+"	"600"	"1.94e+07"	C+	"0.4455846"	"4.0669501"	"4f.5d.(1G*).6s"	"*"	"9/2"	"4f.5d.(3H*).6p"	"2I"	"11/2"	10	12		"T8629"	"L3475"	
Ce	2	"342.621"	"342.62049+"	"390"	"1.55e+07"	B	"0.1224482"	"3.7401144"	"4f.(2F*).5d2.(3F)"	"*"	"9/2"	"4f.5d.(3G*).6p"	""	"7/2"	10	8		"T8629"	"L3475"	
Ce	2	"348.505"	"348.50530+"	"710"	"2.49e+07"	B+	"0.0000000"	"3.5565807"	"4f.(2F*).5d2.(3F)"	"4H*"	"7/2"	"4f.5d.(1G*).6p"	""	"5/2"	8	6		"T8629"	"L3475"	
Ce	2	"350.794"	"350.79409+"	"210"	"6.0e+06"	C+	"0.1748554"	"3.7082315"	"4f.(2F*).5d2.(3F)"	"4I*"	"9/2"	"4f.5d.(3G*).6p"	"4H"	"9/2"	10	10		"T8629"	"L3475"	
Ce	2	"352.052"	"352.05202+"	"210"	"8.3e+06"	B	"0.1748554"	"3.6956067"	"4f.(2F*).5d2.(3F)"	"4I*"	"9/2"	"4f2.(3P).5d"	"2F"	"7/2"	10	8		"T8629"	"L3475"	
Ce	2	"353.405"	"353.40448+"	"600"	"3.24e+07"	B	"0.5212214"	"4.0284993"	"4f.(2F*).5d2.(3F)"	"4H*"	"13/2"	"4f.5d.(3G*).6p"	""	"11/2"	14	12		"T8629"	"L3475"	
Ce	2	"353.908"	"353.90789+"	"770"	"3.57e+07"	B	"0.3200351"	"3.8223242"	"4f.(2F*).5d2.(3F)"	"4H*"	"9/2"	"4f.5d.(3G*).6p"	""	"7/2"	10	8		"T8629"	"L3475"	
Ce	2	"355.273"	"355.27240+"	"240"	"9.8e+06"	B	"0.3178004"	"3.8066385"	"4f.(2F*).5d2.(3F)"	"4I*"	"11/2"	"4f.5d.(3G*).6p"	""	"9/2"	12	10		"T8629"	"L3475"	
Ce	2	"355.500"	"355.50012+"	"420"	"1.55e+07"	B	"0.3200351"	"3.8066385"	"4f.(2F*).5d2.(3F)"	"4H*"	"9/2"	"4f.5d.(3G*).6p"	""	"9/2"	10	10		"T8629"	"L3475"	
Ce	2	"356.080"	"356.08019+"	"1200"	"7.3e+07"	B+	"0.6764386"	"4.1573623"	"4f.(2F*).5d2.(3F)"	"4I*"	"15/2"	"4f.5d.(3G*).6p"	"4H"	"13/2"	16	14		"T8629"	"L3475"	
